047224;12050555;NOLADE21DVS;ZVA Norddeutsche Landesbank Gf SA;30151;Hannover;ZVA NORD LB Gf SA;;;
044802;12060000;GENODEFF120;DZ BANK;10001;Berlin;DZ BANK;;;
044796;12070000;DEUTDEBB160;Deutsche Bank Ld Brandenburg;14405;Potsdam;Deutsche Bank Ld Brandenbg;27704;;
046146;12070000;DEUTDEBB172;Deutsche Bank;16252;Bad Freienwalde (Oder);Deutsche Bank Bad Freienwde;27704;;
046147;12070000;DEUTDEBB122;Deutsche Bank;16311;Bernau bei Berlin;Deutsche Bank Bernau;27704;;
046148;12070000;DEUTDEBB161;Deutsche Bank;14776;Brandenburg an der Havel;Deutsche Bank Brandenburg;27704;;
046149;12070000;DEUTDEBB180;Deutsche Bank;03046;Cottbus;Deutsche Bank Cottbus;27704;;
046150;12070000;DEUTDEBB173;Deutsche Bank;16225;Eberswalde;Deutsche Bank Eberswalde;27704;;
046151;12070000;DEUTDEBB174;Deutsche Bank;15873;Eisenhüttenstadt;Deutsche Bank Eisenhüttenst;27704;;
046152;12070000;DEUTDEBB182;Deutsche Bank;03232;Finsterwalde;Deutsche Bank Finsterwalde;27704;;
046153;12070000;DEUTDEBB170;Deutsche Bank;15203;Frankfurt (Oder);Deutsche Bank Frankfurt Od;27704;;
046154;12070000;DEUTDEBB175;Deutsche Bank;15501;Fürstenwalde/Spree;Deutsche Bank Fürstenwalde;27704;;
046155;12070000;DEUTDEBB187;Deutsche Bank;14902;Jüterbog;Deutsche Bank Jüterbog;27704;;
046156;12070000;DEUTDEBB121;Deutsche Bank;15701;Königs Wusterhausen;Deutsche Bank Königs Wuster;27704;;
046157;12070000;DEUTDEBB163;Deutsche Bank;16856;Kyritz;Deutsche Bank Kyritz;27704;;
046158;12070000;DEUTDEBB123;Deutsche Bank;16801;Neuruppin;Deutsche Bank Neuruppin;27704;;
046159;12070000;DEUTDEBB120;Deutsche Bank;16502;Oranienburg;Deutsche Bank Oranienburg;27704;;
046160;12070000;;Deutsche Bank;10883;Berlin;Deutsche Bank Ld Brandenbg;27704;;
046161;12070000;DEUTDEBB166;Deutsche Bank;16921;Pritzwalk;Deutsche Bank Pritzwalk;27704;;
046162;12070000;DEUTDEBB167;Deutsche Bank;14712;Rathenow;Deutsche Bank Rathenow;27704;;
046163;12070000;DEUTDEBB176;Deutsche Bank;16285;Schwedt/Oder;Deutsche Bank Schwedt;27704;;
046164;12070000;DEUTDEBB177;Deutsche Bank;15301;Seelow;Deutsche Bank Seelow;27704;;
046165;12070000;DEUTDEBB185;Deutsche Bank;01968;Senftenberg;Deutsche Bank Senftenberg;27704;;
046166;12070000;DEUTDEBB186;Deutsche Bank;03130;Spremberg;Deutsche Bank Spremberg;27704;;
046167;12070000;DEUTDEBB189;Deutsche Bank;02931;Weißwasser/O.L.;Deutsche Bank Weißwasser;27704;;
046168;12070000;DEUTDEBB183;Deutsche Bank;03161;Guben;Deutsche Bank Guben;27704;;
046169;12070000;DEUTDEBB169;Deutsche Bank;16901;Wittstock/Dosse;Deutsche Bank Wittstock;27704;;
046170;12070000;DEUTDEBB124;Deutsche Bank;15801;Zossen;Deutsche Bank Zossen;27704;;
048454;12070000;DEUTDEBB171;Deutsche Bank;16278;Angermünde;Deutsche Bank Angermünde;27704;;
048455;12070000;DEUTDEBB162;Deutsche Bank;14612;Falkensee;Deutsche Bank Falkensee;27704;;
048456;12070000;DEUTDEBB181;Deutsche Bank;03149;Forst (Lausitz);Deutsche Bank Forst;27704;;
048457;12070000;DEUTDEBB125;Deutsche Bank;16761;Hennigsdorf;Deutsche Bank Hennigsdorf;27704;;
048458;12070000;DEUTDEBB188;Deutsche Bank;14943;Luckenwalde;Deutsche Bank Luckenwalde;27704;;
048459;12070000;DEUTDEBB164;Deutsche Bank;14974;Ludwigsfelde;Deutsche Bank Ludwigsfelde;27704;;
048460;12070000;DEUTDEBB184;Deutsche Bank;15907;Lübben (Spreewald);Deutsche Bank Lübben;27704;;
048461;12070000;DEUTDEBB126;Deutsche Bank;01987;Schwarzheide;Deutsche Bank Schwarzheide;27704;;
048462;12070000;DEUTDEBB178;Deutsche Bank;15344;Strausberg;Deutsche Bank Strausberg;27704;;
048463;12070000;DEUTDEBB127;Deutsche Bank;14513;Teltow;Deutsche Bank Teltow;27704;;
048464;12070000;DEUTDEBB168;Deutsche Bank;14542;Werder (Havel);Deutsche Bank Werder Havel;27704;;
048515;12070000;DEUTDEBB165;Deutsche Bank;14641;Nauen;Deutsche Bank Nauen;27704;;
049761;12070024;DEUTDEDB160;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);14405;Potsdam;DB PFK (Deutsche Bank PGK);21704;;
